,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Date,High,Low,Open,Close,Volume,Adj Close
0,0,0,0,0,0,0,0,2014-12-31,6.539999961853027,6.389999866485598,6.420000076293945,6.480000019073486,13087500,6.480000019073486
1,1,1,1,1,1,1,1,2015-01-02,6.5,6.210000038146973,6.489999771118164,6.289999961853027,15675200,6.289999961853027
2,2,2,2,2,2,2,2,2015-01-05,6.53000020980835,6.190000057220459,6.289999961853027,6.440000057220459,12458500,6.440000057220459
3,3,3,3,3,3,3,3,2015-01-06,6.610000133514402,6.320000171661378,6.440000057220459,6.559999942779541,22907100,6.559999942779541
4,4,4,4,4,4,4,4,2015-01-07,7.989999771118164,7.53000020980835,7.849999904632567,7.889999866485598,61614900,7.889999866485598
5,5,5,5,5,5,5,5,2015-01-08,8.050000190734862,7.559999942779541,7.880000114440918,7.949999809265138,24323400,7.949999809265138
6,6,6,6,6,6,6,6,2015-01-09,8.079999923706055,7.809999942779541,7.880000114440918,7.9099998474121085,14952100,7.9099998474121085
7,7,7,7,7,7,7,7,2015-01-12,8.149999618530272,7.900000095367432,7.980000019073486,8.140000343322754,15633700,8.140000343322754
8,8,8,8,8,8,8,8,2015-01-13,8.300000190734862,7.929999828338622,8.170000076293945,7.96999979019165,18285300,7.96999979019165
9,9,9,9,9,9,9,9,2015-01-14,8.159999847412111,7.71999979019165,7.800000190734862,8.140000343322754,15086700,8.140000343322754
10,10,10,10,10,10,10,10,2015-01-15,8.199999809265138,7.710000038146973,8.100000381469728,7.71999979019165,13713200,7.71999979019165
11,11,11,11,11,11,11,11,2015-01-16,7.75,7.380000114440918,7.71999979019165,7.440000057220459,15146900,7.440000057220459
12,12,12,12,12,12,12,12,2015-01-20,7.53000020980835,7.170000076293945,7.46999979019165,7.239999771118164,11405000,7.239999771118164
13,13,13,13,13,13,13,13,2015-01-21,7.329999923706055,7.139999866485598,7.170000076293945,7.25,7916200,7.25
14,14,14,14,14,14,14,14,2015-01-22,7.53000020980835,7.25,7.25,7.489999771118164,10377300,7.489999771118164
15,15,15,15,15,15,15,15,2015-01-23,7.579999923706055,7.380000114440918,7.5,7.519999980926514,6920700,7.519999980926514
16,16,16,16,16,16,16,16,2015-01-26,7.71999979019165,7.440000057220459,7.550000190734862,7.630000114440918,6243300,7.630000114440918
17,17,17,17,17,17,17,17,2015-01-27,7.739999771118164,7.519999980926514,7.539999961853027,7.619999885559082,8341600,7.619999885559082
18,18,18,18,18,18,18,18,2015-01-28,7.769999980926514,7.449999809265138,7.610000133514402,7.460000038146973,8347000,7.460000038146973
19,19,19,19,19,19,19,19,2015-01-29,7.519999980926514,7.110000133514402,7.480000019073486,7.460000038146973,11064300,7.460000038146973
20,20,20,20,20,20,20,20,2015-01-30,7.46999979019165,7.170000076293945,7.380000114440918,7.269999980926514,10478300,7.269999980926514
21,21,21,21,21,21,21,21,2015-02-02,7.440000057220459,7.010000228881836,7.170000076293945,7.429999828338622,12772700,7.429999828338622
22,22,22,22,22,22,22,22,2015-02-03,7.71999979019165,7.300000190734862,7.400000095367432,7.559999942779541,10561100,7.559999942779541
23,23,23,23,23,23,23,23,2015-02-04,7.869999885559082,7.519999980926514,7.550000190734862,7.829999923706055,10353400,7.829999923706055
24,24,24,24,24,24,24,24,2015-02-05,7.960000038146973,7.699999809265138,7.820000171661378,7.769999980926514,9837900,7.769999980926514
25,25,25,25,25,25,25,25,2015-02-06,7.9099998474121085,7.710000038146973,7.829999923706055,7.800000190734862,6494800,7.800000190734862
26,26,26,26,26,26,26,26,2015-02-09,8.149999618530272,7.71999979019165,7.78000020980835,7.949999809265138,11546900,7.949999809265138
27,27,27,27,27,27,27,27,2015-02-10,8.090000152587889,7.849999904632567,7.989999771118164,8.050000190734862,7119200,8.050000190734862
28,28,28,28,28,28,28,28,2015-02-11,8.100000381469728,7.809999942779541,8.020000457763674,7.880000114440918,7425100,7.880000114440918
29,29,29,29,29,29,29,29,2015-02-12,8.050000190734862,7.769999980926514,7.880000114440918,7.9099998474121085,6309300,7.9099998474121085
30,30,30,30,30,30,30,30,2015-02-13,8.149999618530272,8.010000228881836,8.069999694824219,8.050000190734862,8350300,8.050000190734862
31,31,31,31,31,31,31,31,2015-02-17,8.220000267028809,7.960000038146973,8.050000190734862,8.130000114440918,7811500,8.130000114440918
32,32,32,32,32,32,32,32,2015-02-18,8.5,8.119999885559082,8.229999542236326,8.270000457763674,15180700,8.270000457763674
33,33,33,33,33,33,33,33,2015-02-19,8.260000228881836,8.119999885559082,8.260000228881836,8.159999847412111,6823200,8.159999847412111
34,34,34,34,34,34,34,34,2015-02-20,8.25,8.060000419616701,8.119999885559082,8.220000267028809,6108100,8.220000267028809
35,35,35,35,35,35,35,35,2015-02-23,8.489999771118164,8.210000038146973,8.25,8.470000267028809,13867000,8.470000267028809
36,36,36,36,36,36,36,36,2015-02-24,8.960000038146973,8.510000228881836,8.569999694824219,8.890000343322754,20843500,8.890000343322754
37,37,37,37,37,37,37,37,2015-02-25,9.18000030517578,8.75,9.039999961853027,8.989999771118164,21287700,8.989999771118164
38,38,38,38,38,38,38,38,2015-02-26,9.149999618530273,8.880000114440918,9.06999969482422,9.119999885559082,24779200,9.119999885559082
39,39,39,39,39,39,39,39,2015-02-27,8.899999618530273,7.880000114440918,8.0,8.5,65873400,8.5
40,40,40,40,40,40,40,40,2015-03-02,8.460000038146973,7.800000190734862,8.460000038146973,7.849999904632567,30852300,7.849999904632567
41,41,41,41,41,41,41,41,2015-03-03,8.050000190734862,7.800000190734862,7.800000190734862,7.880000114440918,13354100,7.880000114440918
42,42,42,42,42,42,42,42,2015-03-04,8.010000228881836,7.8400001525878915,7.8400001525878915,7.880000114440918,10425600,7.880000114440918
43,43,43,43,43,43,43,43,2015-03-05,7.980000019073486,7.670000076293945,7.929999828338622,7.71999979019165,11521500,7.71999979019165
44,44,44,44,44,44,44,44,2015-03-06,7.869999885559082,7.570000171661378,7.690000057220459,7.650000095367432,11352200,7.650000095367432
45,45,45,45,45,45,45,45,2015-03-09,7.679999828338622,7.25,7.650000095367432,7.329999923706055,16175400,7.329999923706055
46,46,46,46,46,46,46,46,2015-03-10,7.5900001525878915,7.25,7.269999980926514,7.369999885559082,8562300,7.369999885559082
47,47,47,47,47,47,47,47,2015-03-11,7.4099998474121085,7.239999771118164,7.400000095367432,7.309999942779541,6333200,7.309999942779541
48,48,48,48,48,48,48,48,2015-03-12,7.5,7.28000020980835,7.309999942779541,7.489999771118164,7829800,7.489999771118164
49,49,49,49,49,49,49,49,2015-03-13,7.739999771118164,7.440000057220459,7.449999809265138,7.730000019073486,11883400,7.730000019073486
50,50,50,50,50,50,50,50,2015-03-16,7.829999923706055,7.599999904632567,7.769999980926514,7.800000190734862,8610300,7.800000190734862
51,51,51,51,51,51,51,51,2015-03-17,7.960000038146973,7.710000038146973,7.75,7.880000114440918,8907300,7.880000114440918
52,52,52,52,52,52,52,52,2015-03-18,7.829999923706055,7.599999904632567,7.829999923706055,7.650000095367432,10123200,7.650000095367432
53,53,53,53,53,53,53,53,2015-03-19,7.809999942779541,7.599999904632567,7.639999866485598,7.769999980926514,6538300,7.769999980926514
54,54,54,54,54,54,54,54,2015-03-20,7.8400001525878915,7.679999828338622,7.78000020980835,7.699999809265138,8227500,7.699999809265138
55,55,55,55,55,55,55,55,2015-03-23,8.109999656677246,7.670000076293945,7.670000076293945,8.020000457763674,14431900,8.020000457763674
56,56,56,56,56,56,56,56,2015-03-24,8.130000114440918,7.920000076293945,7.96999979019165,8.039999961853027,8284100,8.039999961853027
57,57,57,57,57,57,57,57,2015-03-25,8.090000152587889,7.940000057220459,8.020000457763674,7.980000019073486,10731100,7.980000019073486
58,58,58,58,58,58,58,58,2015-03-26,7.940000057220459,7.570000171661378,7.929999828338622,7.650000095367432,13304200,7.650000095367432
59,59,59,59,59,59,59,59,2015-03-27,7.760000228881836,7.579999923706055,7.610000133514402,7.630000114440918,5086100,7.630000114440918
60,60,60,60,60,60,60,60,2015-03-30,7.880000114440918,7.610000133514402,7.650000095367432,7.829999923706055,6788500,7.829999923706055
61,61,61,61,61,61,61,61,2015-03-31,8.489999771118164,8.029999732971191,8.039999961853027,8.409999847412111,30793100,8.409999847412111
62,62,62,62,62,62,62,62,2015-04-01,8.9399995803833,8.409999847412111,8.449999809265138,8.899999618530273,24649500,8.899999618530273
63,63,63,63,63,63,63,63,2015-04-02,9.199999809265137,8.819999694824219,8.859999656677246,9.130000114440918,20423200,9.130000114440918
64,64,64,64,64,64,64,64,2015-04-06,9.300000190734863,9.010000228881836,9.029999732971193,9.289999961853027,12899400,9.289999961853027
65,65,65,65,65,65,65,65,2015-04-07,9.300000190734863,8.8100004196167,9.260000228881836,8.880000114440918,13147200,8.880000114440918
66,66,66,66,66,66,66,66,2015-04-08,9.109999656677246,8.859999656677246,8.880000114440918,9.079999923706056,9011800,9.079999923706056
67,67,67,67,67,67,67,67,2015-04-09,9.220000267028807,9.029999732971193,9.029999732971193,9.199999809265137,9321000,9.199999809265137
68,68,68,68,68,68,68,68,2015-04-10,9.420000076293944,9.210000038146973,9.25,9.220000267028807,9083700,9.220000267028807
69,69,69,69,69,69,69,69,2015-04-13,9.420000076293944,9.09000015258789,9.1899995803833,9.399999618530273,9535600,9.399999618530273
70,70,70,70,70,70,70,70,2015-04-14,9.5,9.020000457763672,9.350000381469727,9.149999618530273,20659000,9.149999618530273
71,71,71,71,71,71,71,71,2015-04-15,9.289999961853027,8.920000076293945,9.149999618530273,8.930000305175781,10331500,8.930000305175781
72,72,72,72,72,72,72,72,2015-04-16,8.920000076293945,8.609999656677246,8.899999618530273,8.689999580383299,13173400,8.689999580383299
73,73,73,73,73,73,73,73,2015-04-17,8.789999961853027,8.5,8.600000381469728,8.710000038146973,10160900,8.710000038146973
74,74,74,74,74,74,74,74,2015-04-20,8.770000457763674,8.640000343322754,8.739999771118164,8.649999618530272,6156400,8.649999618530272
75,75,75,75,75,75,75,75,2015-04-21,8.680000305175781,8.529999732971191,8.649999618530272,8.579999923706055,7284100,8.579999923706055
76,76,76,76,76,76,76,76,2015-04-22,8.609999656677246,8.329999923706055,8.579999923706055,8.560000419616701,9840400,8.560000419616701
77,77,77,77,77,77,77,77,2015-04-23,8.619999885559082,8.359999656677246,8.550000190734862,8.479999542236326,8575800,8.479999542236326
78,78,78,78,78,78,78,78,2015-04-24,8.619999885559082,8.380000114440918,8.520000457763674,8.409999847412111,6937300,8.409999847412111
79,79,79,79,79,79,79,79,2015-04-27,8.489999771118164,8.279999732971191,8.409999847412111,8.319999694824219,5326800,8.319999694824219
80,80,80,80,80,80,80,80,2015-04-28,8.640000343322754,8.260000228881836,8.279999732971191,8.600000381469728,9650900,8.600000381469728
81,81,81,81,81,81,81,81,2015-04-29,8.550000190734862,8.170000076293945,8.550000190734862,8.390000343322754,11823600,8.390000343322754
82,82,82,82,82,82,82,82,2015-04-30,8.439999580383299,8.170000076293945,8.350000381469728,8.300000190734862,8238900,8.300000190734862
83,83,83,83,83,83,83,83,2015-05-01,8.460000038146973,8.189999580383299,8.310000419616701,8.430000305175781,7692000,8.430000305175781
84,84,84,84,84,84,84,84,2015-05-04,8.569999694824219,8.329999923706055,8.449999809265138,8.369999885559082,9714400,8.369999885559082
85,85,85,85,85,85,85,85,2015-05-05,8.479999542236326,8.149999618530272,8.359999656677246,8.149999618530272,6328500,8.149999618530272
86,86,86,86,86,86,86,86,2015-05-06,8.239999771118164,8.020000457763674,8.220000267028809,8.189999580383299,7055300,8.189999580383299
87,87,87,87,87,87,87,87,2015-05-07,8.270000457763674,8.020000457763674,8.199999809265138,8.25,7716000,8.25
88,88,88,88,88,88,88,88,2015-05-08,8.640000343322754,8.310000419616701,8.350000381469728,8.5,13595800,8.5
89,89,89,89,89,89,89,89,2015-05-11,8.9399995803833,8.430000305175781,8.569999694824219,8.75,18651700,8.75
90,90,90,90,90,90,90,90,2015-05-12,8.979999542236328,8.539999961853027,8.699999809265138,8.880000114440918,19700800,8.880000114440918
91,91,91,91,91,91,91,91,2015-05-13,8.819999694824219,8.449999809265138,8.800000190734863,8.710000038146973,37007500,8.710000038146973
92,92,92,92,92,92,92,92,2015-05-14,8.699999809265138,8.020000457763674,8.670000076293945,8.039999961853027,59462600,8.039999961853027
93,93,93,93,93,93,93,93,2015-05-15,8.590000152587889,8.119999885559082,8.180000305175781,8.560000419616701,32279400,8.560000419616701
94,94,94,94,94,94,94,94,2015-05-18,8.600000381469728,8.310000419616701,8.539999961853027,8.550000190734862,17248100,8.550000190734862
95,95,95,95,95,95,95,95,2015-05-19,8.689999580383299,8.439999580383299,8.510000228881836,8.550000190734862,12855700,8.550000190734862
96,96,96,96,96,96,96,96,2015-05-20,8.710000038146973,8.479999542236326,8.520000457763674,8.659999847412111,12583700,8.659999847412111
97,97,97,97,97,97,97,97,2015-05-21,8.989999771118164,8.579999923706055,8.609999656677246,8.84000015258789,15387000,8.84000015258789
98,98,98,98,98,98,98,98,2015-05-22,9.079999923706056,8.8100004196167,8.850000381469727,8.829999923706055,10644800,8.829999923706055
99,99,99,99,99,99,99,99,2015-05-26,8.970000267028809,8.729999542236326,8.779999732971191,8.729999542236326,13176100,8.729999542236326
100,100,100,100,100,100,100,100,2015-05-27,8.869999885559082,8.600000381469728,8.75,8.600000381469728,12464800,8.600000381469728
101,101,101,101,101,101,101,101,2015-05-28,8.710000038146973,8.529999732971191,8.590000152587889,8.630000114440918,9404500,8.630000114440918
102,102,102,102,102,102,102,102,2015-05-29,8.640000343322754,8.5,8.590000152587889,8.590000152587889,10028700,8.590000152587889
103,103,103,103,103,103,103,103,2015-06-01,8.699999809265138,8.479999542236326,8.569999694824219,8.5,9793000,8.5
104,104,104,104,104,104,104,104,2015-06-02,8.84000015258789,8.449999809265138,8.460000038146973,8.75,10248700,8.75
105,105,105,105,105,105,105,105,2015-06-03,8.859999656677246,8.699999809265138,8.770000457763674,8.84000015258789,7586200,8.84000015258789
106,106,106,106,106,106,106,106,2015-06-04,8.859999656677246,8.630000114440918,8.789999961853027,8.640000343322754,8032700,8.640000343322754
107,107,107,107,107,107,107,107,2015-06-05,8.649999618530272,8.409999847412111,8.600000381469728,8.529999732971191,8696400,8.529999732971191
108,108,108,108,108,108,108,108,2015-06-08,8.699999809265138,8.479999542236326,8.529999732971191,8.569999694824219,11120200,8.569999694824219
109,109,109,109,109,109,109,109,2015-06-09,8.630000114440918,8.430000305175781,8.569999694824219,8.460000038146973,10127700,8.460000038146973
110,110,110,110,110,110,110,110,2015-06-10,8.590000152587889,8.399999618530272,8.529999732971191,8.560000419616701,12641600,8.560000419616701
111,111,111,111,111,111,111,111,2015-06-11,8.699999809265138,8.300000190734862,8.649999618530272,8.350000381469728,12325300,8.350000381469728
112,112,112,112,112,112,112,112,2015-06-12,8.340000152587889,8.159999847412111,8.300000190734862,8.220000267028809,10585300,8.220000267028809
